,taxa 1,taxa 2,taxa 3,taxa 4,taxa 5,taxa 6,taxa 7,taxa 8,taxa 9,taxa 10,taxa 11,taxa 12,taxa 13,taxa 14,taxa 15,taxa 16,taxa 17,taxa 18,taxa 19,taxa 20,taxa 21,taxa 22,taxa 23,taxa 24,taxa 25,taxa 26,taxa 27,taxa 28,taxa 29,taxa 30,taxa 31,taxa 32,taxa 33,taxa 34,taxa 35,taxa 36,taxa 37,taxa 38,taxa 39,taxa 40,taxa 41,taxa 42,taxa 43,taxa 44,taxa 45,taxa 46,taxa 47,taxa 48,taxa 49,taxa 50
sample 39,347,240,30,152,120,256,99,121,148,41,730,146,92,0,41,85,80,39,63,94,83,33,13,17,40,37,26,0,0,0,0,0,47,31,0,33,0,33,18,33,58,47,42,26,13,0,0,0,0,4
sample 40,170,118,63,101,62,209,79,76,161,19,612,88,113,12,0,95,65,18,69,19,31,0,30,11,35,14,19,0,44,0,0,21,73,0,0,38,0,0,0,11,44,14,25,19,20,0,0,0,12,6
sample 41,312,218,41,114,134,317,160,105,141,22,393,75,0,0,21,85,55,36,0,28,46,78,13,17,34,20,0,19,0,0,25,0,30,0,0,0,0,21,20,39,0,22,41,28,23,0,28,0,0,6
sample 42,732,100,50,90,122,129,387,86,125,19,668,198,9,0,0,45,0,46,94,0,141,73,13,0,30,0,58,0,0,77,0,22,116,6,0,0,29,0,16,151,8,45,0,0,39,0,6,0,0,0
sample 43,464,161,30,47,168,477,67,99,115,48,625,72,32,0,22,214,26,93,59,52,22,0,0,53,26,34,0,0,70,0,40,29,74,37,14,52,0,0,0,23,108,0,116,0,0,0,0,0,0,6
sample 44,272,89,49,90,153,144,59,66,61,15,359,14,29,0,0,56,0,51,52,0,45,13,0,19,13,7,10,0,0,12,0,0,42,9,0,30,0,0,0,26,19,0,0,0,0,0,0,0,0,0
sample 45,377,24,47,75,110,209,62,103,147,28,357,11,39,0,0,88,44,51,0,0,23,17,38,27,35,0,0,0,9,0,0,0,45,0,0,44,0,0,0,42,75,0,45,0,0,0,0,0,0,0
sample 46,152,87,33,85,184,132,55,28,106,13,315,47,250,53,0,97,0,0,0,35,13,0,0,29,0,0,0,0,60,0,0,37,35,7,0,34,15,0,22,0,13,0,49,0,0,0,0,0,0,0
sample 47,359,83,30,98,109,293,145,56,140,38,347,192,130,21,0,100,41,0,47,44,0,19,25,10,47,0,29,0,16,20,20,21,27,38,0,23,29,0,0,0,0,40,104,0,0,0,0,0,0,0
sample 48,62,99,0,42,75,94,51,30,109,18,91,70,88,39,0,60,19,17,51,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
sample 49,351,96,0,151,95,178,26,28,79,0,199,0,154,79,0,155,13,13,36,28,8,15,21,29,25,33,0,0,47,0,0,0,21,0,0,0,19,0,0,0,0,0,35,0,0,0,9,8,0,0
sample 50,684,107,74,186,0,189,34,81,122,29,351,31,92,38,27,133,102,0,0,95,36,114,0,25,0,20,0,27,111,0,66,0,70,29,0,14,26,43,0,0,28,0,0,0,6,11,8,7,0,0
sample 51,384,154,39,83,90,193,0,35,47,34,168,15,19,0,22,130,98,23,18,0,21,38,19,38,0,17,0,18,18,0,14,0,0,6,0,0,0,24,0,0,0,12,95,0,9,0,0,10,0,0
